Date,Open,High,Low,Close,Adj Close,Volume
2022-12-23,265.470001,268.040009,263.529999,267.359985,266.946716,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,263.172577,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,259.697968,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,266.028168,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,265.868408,37858300
2023-01-03,268.649994,270.149994,262.130005,264.480011,264.071198,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,265.329224,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,261.175659,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,268.384491,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,270.121826,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,272.408264,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,277.120972,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,278.618652,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,280.535706,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,281.104828,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,277.450470,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,274.724701,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,282.243042,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,288.513336,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,287.924255,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,287.285248,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,292.886566,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,295.802063,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,289.821320,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,294.164581,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,300.454865,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,311.238159,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,305.706726,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,303.120728,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,309.401001,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,303.899536,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,301.213684,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,299.236755,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,304.029327,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,306.275848,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,308.622223,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,302.831177,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,300.694489,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,293.575500,46526700
2023-02-22,294.619995,296.359985,292.559998,294.250000,293.795166,51389200
2023-02-23,297.970001,298.130005,292.549988,296.820007,296.361206,69294400
2023-02-24,291.760010,292.970001,290.049988,291.850006,291.398895,74332000
2023-02-27,295.070007,296.489990,293.339996,293.940002,293.485657,48995000
2023-02-28,293.299988,296.119995,292.959991,293.559998,293.106232,48243100
2023-03-01,293.260010,293.929993,290.200012,291.200012,290.749908,58287000
2023-03-02,288.660004,294.429993,288.369995,293.609985,293.156158,53565900
2023-03-03,295.390015,299.920013,294.869995,299.679993,299.216766,60511500
2023-03-06,300.940002,304.000000,299.820007,300.019989,299.556244,56736300
2023-03-07,300.070007,301.010010,295.720001,296.339996,295.881927,65955800
2023-03-08,296.769989,298.429993,294.880005,297.820007,297.359650,50876300
2023-03-09,298.329987,300.980011,291.829987,292.660004,292.207642,71456700
2023-03-10,292.829987,294.350006,287.380005,288.549988,288.103973,98593600
2023-03-13,286.730011,294.470001,285.190002,290.690002,290.240662,97123600
2023-03-14,294.309998,297.929993,293.450012,297.369995,296.910339,73602500
